Contour 1:
(355, 49)
(360, 51)
(356, 49)
(361, 47)
(360, 45)
(360, 47)
(363, 47)
(364, 47)
(366, 48)
(367, 47)
(364, 45)
(369, 45)
(369, 46)
(371, 49)
(370, 47)
(369, 48)
(371, 52)
(372, 49)
(373, 50)
(372, 51)
(372, 46)
(371, 50)
(369, 46)
(369, 47)
(364, 48)
(366, 48)
(363, 45)
(364, 44)
(363, 46)
(362, 48)
(359, 49)
(360, 50)
(356, 49)
(357, 48)

Contour 2:
(374, 52)

Contour 3:
(373, 56)

Contour 4:
(375, 60)
(376, 57)

Contour 5:
(355, 57)
(356, 59)
(355, 57)
(357, 53)
(354, 52)
(354, 54)
(354, 56)
(355, 56)
(357, 57)
(352, 56)

Contour 6:
(379, 63)
(377, 66)
(378, 64)
(375, 63)
(377, 60)
(376, 62)
(377, 62)
(379, 63)
(376, 62)
(377, 66)

Contour 7:
(379, 70)
(379, 71)
(377, 69)
(376, 68)
(377, 67)
(377, 69)

Contour 8:
(350, 72)
(351, 68)
(349, 70)
(352, 66)
(352, 65)
(351, 65)
(352, 63)
(352, 61)
(352, 62)
(355, 62)
(351, 59)
(353, 59)
(353, 63)
(350, 64)
(354, 66)
(351, 64)
(350, 65)
(353, 65)
(350, 70)
(349, 70)

Contour 9:
(378, 71)

Contour 10:
(377, 77)
(380, 76)

Contour 11:
(378, 81)
(380, 83)
(380, 81)
(382, 81)
(379, 80)
(382, 80)
(378, 80)
(380, 83)

Contour 12:
(351, 88)
(349, 83)
(351, 85)
(351, 81)
(349, 81)
(351, 81)
(350, 78)
(347, 80)
(349, 79)
(349, 75)
(351, 76)
(352, 73)
(350, 75)
(351, 71)
(350, 73)
(350, 74)
(351, 72)
(349, 74)
(349, 74)
(348, 75)
(348, 79)
(350, 78)
(348, 79)
(348, 82)
(347, 81)
(351, 83)
(349, 82)
(348, 86)

Contour 13:
(380, 94)
(381, 90)
(379, 91)
(379, 91)
(380, 88)
(380, 87)
(383, 85)
(379, 87)
(379, 91)
(379, 88)
(380, 93)
(380, 91)

Contour 14:
(109, 95)
(112, 93)
(112, 95)
(115, 93)
(115, 92)
(115, 93)
(112, 93)
(111, 95)
(111, 91)
(110, 93)

Contour 15:
(120, 94)
(121, 95)
(120, 94)

Contour 16:
(123, 94)
(123, 94)

Contour 17:
(129, 100)
(128, 98)
(128, 97)
(127, 97)
(126, 94)
(124, 94)
(128, 95)
(129, 97)

Contour 18:
(132, 99)

Contour 19:
(349, 102)
(349, 99)
(349, 101)
(346, 98)
(350, 99)
(350, 97)
(348, 94)
(349, 94)
(347, 93)
(348, 93)
(347, 89)
(348, 90)
(350, 87)
(347, 90)
(350, 89)
(347, 92)
(346, 89)
(346, 92)
(346, 94)
(346, 96)
(350, 95)
(347, 96)
(347, 97)
(349, 99)
(347, 99)
(349, 101)

Contour 20:
(137, 104)
(140, 105)
(138, 101)
(138, 105)
(134, 102)
(134, 99)
(133, 102)
(131, 98)
(131, 100)
(134, 99)
(135, 102)
(134, 105)
(137, 105)
(138, 105)

Contour 21:
(384, 107)
(380, 107)
(380, 105)
(382, 103)
(384, 103)
(382, 104)
(380, 102)
(383, 99)
